original_id,original_name,original_supercategory,coarse_class,coarse_class_id
0,Aluminium foil,Aluminium foil,metal,3
1,Battery,Battery,other,5
2,Aluminium blister pack,Blister pack,metal,3
3,Carded blister pack,Blister pack,other,5
4,Other plastic bottle,Bottle,rigid_plastic,0
5,Clear plastic bottle,Bottle,rigid_plastic,0
6,Glass bottle,Bottle,glass,4
7,Plastic bottle cap,Bottle cap,rigid_plastic,0
8,Metal bottle cap,Bottle cap,metal,3
9,Broken glass,Broken glass,glass,4
10,Food Can,Can,metal,3
11,Aerosol,Can,metal,3
12,Drink can,Can,metal,3
13,Toilet tube,Carton,paper/cardboard,2
14,Other carton,Carton,paper/cardboard,2
15,Egg carton,Carton,paper/cardboard,2
16,Drink carton,Carton,paper/cardboard,2
17,Corrugated carton,Carton,paper/cardboard,2
18,Meal carton,Carton,paper/cardboard,2
19,Pizza box,Carton,paper/cardboard,2
20,Paper cup,Cup,paper/cardboard,2
21,Disposable plastic cup,Cup,rigid_plastic,0
22,Foam cup,Cup,rigid_plastic,0
23,Glass cup,Cup,glass,4
24,Other plastic cup,Cup,rigid_plastic,0
25,Food waste,Food waste,other,5
26,Glass jar,Glass jar,glass,4
27,Plastic lid,Lid,rigid_plastic,0
28,Metal lid,Lid,metal,3
29,Other plastic,Other plastic,rigid_plastic,0
30,Magazine paper,Paper,paper/cardboard,2
31,Tissues,Paper,paper/cardboard,2
32,Wrapping paper,Paper,paper/cardboard,2
33,Normal paper,Paper,paper/cardboard,2
34,Paper bag,Paper bag,paper/cardboard,2
35,Plastified paper bag,Paper bag,paper/cardboard,2
36,Plastic film,Plastic bag & wrapper,soft_plastic,1
37,Six pack rings,Plastic bag & wrapper,soft_plastic,1
38,Garbage bag,Plastic bag & wrapper,soft_plastic,1
39,Other plastic wrapper,Plastic bag & wrapper,soft_plastic,1
40,Single-use carrier bag,Plastic bag & wrapper,soft_plastic,1
41,Polypropylene bag,Plastic bag & wrapper,soft_plastic,1
42,Crisp packet,Plastic bag & wrapper,soft_plastic,1
43,Spread tub,Plastic container,rigid_plastic,0
44,Tupperware,Plastic container,rigid_plastic,0
45,Disposable food container,Plastic container,rigid_plastic,0
46,Foam food container,Plastic container,rigid_plastic,0
47,Other plastic container,Plastic container,rigid_plastic,0
48,Plastic glooves,Plastic glooves,rigid_plastic,0
49,Plastic utensils,Plastic utensils,rigid_plastic,0
50,Pop tab,Pop tab,metal,3
51,Rope & strings,Rope & strings,other,5
52,Scrap metal,Scrap metal,metal,3
53,Shoe,Shoe,other,5
54,Squeezable tube,Squeezable tube,soft_plastic,1
55,Plastic straw,Straw,rigid_plastic,0
56,Paper straw,Straw,paper/cardboard,2
57,Styrofoam piece,Styrofoam piece,rigid_plastic,0
58,Unlabeled litter,Unlabeled litter,other,5
59,Cigarette,Cigarette,other,5
